Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_003704035.1	Primary Assembly	Un			RCWR01155397.1	Chromosome		NW_024597976.1	unplaced-scaffold	1118			scaffold08537
GCF_003704035.1	Primary Assembly	Un			RCWR01155398.1	Chromosome		NW_024597977.1	unplaced-scaffold	1123			scaffold08538
GCF_003704035.1	Primary Assembly	Un			RCWR01155399.1	Chromosome		NW_024597978.1	unplaced-scaffold	1117			scaffold08539
GCF_003704035.1	Primary Assembly	Un			RCWR01155400.1	Chromosome		NW_024597979.1	unplaced-scaffold	1125			scaffold08540
GCF_003704035.1	Primary Assembly	Un			RCWR01155401.1	Chromosome		NW_024597980.1	unplaced-scaffold	1122			scaffold08541
GCF_003704035.1	Primary Assembly	Un			RCWR01155402.1	Chromosome		NW_024597981.1	unplaced-scaffold	1090			scaffold08542
GCF_003704035.1	Primary Assembly	Un			RCWR01155403.1	Chromosome		NW_024597982.1	unplaced-scaffold	1082			scaffold08543
GCF_003704035.1	Primary Assembly	Un			RCWR01155404.1	Chromosome		NW_024597983.1	unplaced-scaffold	1123			scaffold08544
GCF_003704035.1	Primary Assembly	Un			RCWR01155405.1	Chromosome		NW_024597984.1	unplaced-scaffold	1064			scaffold08545
GCF_003704035.1	Primary Assembly	Un			RCWR01155406.1	Chromosome		NW_024597985.1	unplaced-scaffold	1122			scaffold08546
GCF_003704035.1	Primary Assembly	Un			RCWR01155407.1	Chromosome		NW_024597986.1	unplaced-scaffold	1122			scaffold08547
GCF_003704035.1	Primary Assembly	Un			RCWR01155408.1	Chromosome		NW_024597987.1	unplaced-scaffold	1082			scaffold08548
GCF_003704035.1	Primary Assembly	Un			RCWR01155409.1	Chromosome		NW_024597988.1	unplaced-scaffold	1066			scaffold08549
GCF_003704035.1	Primary Assembly	Un			RCWR01155410.1	Chromosome		NW_024597989.1	unplaced-scaffold	1121			scaffold08550
GCF_003704035.1	Primary Assembly	Un			RCWR01155411.1	Chromosome		NW_024597990.1	unplaced-scaffold	1028			scaffold08551
GCF_003704035.1	Primary Assembly	Un			RCWR01155412.1	Chromosome		NW_024597991.1	unplaced-scaffold	1062			scaffold08552
GCF_003704035.1	Primary Assembly	Un			RCWR01155413.1	Chromosome		NW_024597992.1	unplaced-scaffold	1121			scaffold08553
GCF_003704035.1	Primary Assembly	Un			RCWR01155414.1	Chromosome		NW_024597993.1	unplaced-scaffold	1069			scaffold08555
GCF_003704035.1	Primary Assembly	Un			RCWR01155415.1	Chromosome		NW_024597994.1	unplaced-scaffold	1120			scaffold08556
GCF_003704035.1	Primary Assembly	Un			RCWR01155416.1	Chromosome		NW_024597995.1	unplaced-scaffold	1073			scaffold08557
GCF_003704035.1	Primary Assembly	Un			RCWR01155417.1	Chromosome		NW_024597996.1	unplaced-scaffold	1060			scaffold08558
GCF_003704035.1	Primary Assembly	Un			RCWR01155418.1	Chromosome		NW_024597997.1	unplaced-scaffold	1112			scaffold08559
GCF_003704035.1	Primary Assembly	Un			RCWR01155419.1	Chromosome		NW_024597998.1	unplaced-scaffold	1060			scaffold08560
GCF_003704035.1	Primary Assembly	Un			RCWR01155420.1	Chromosome		NW_024597999.1	unplaced-scaffold	1077			scaffold08561
GCF_003704035.1	Primary Assembly	Un			RCWR01155421.1	Chromosome		NW_024598000.1	unplaced-scaffold	1043			scaffold08562
GCF_003704035.1	Primary Assembly	Un			RCWR01155422.1	Chromosome		NW_024598001.1	unplaced-scaffold	1120			scaffold08563
GCF_003704035.1	Primary Assembly	Un			RCWR01155423.1	Chromosome		NW_024598002.1	unplaced-scaffold	1120			scaffold08564
GCF_003704035.1	Primary Assembly	Un			RCWR01155424.1	Chromosome		NW_024598003.1	unplaced-scaffold	1067			scaffold08565
GCF_003704035.1	Primary Assembly	Un			RCWR01155425.1	Chromosome		NW_024598004.1	unplaced-scaffold	1120			scaffold08566
GCF_003704035.1	Primary Assembly	Un			RCWR01155426.1	Chromosome		NW_024598005.1	unplaced-scaffold	1018			scaffold08567
GCF_003704035.1	Primary Assembly	Un			RCWR01155427.1	Chromosome		NW_024598006.1	unplaced-scaffold	1027			scaffold08568
GCF_003704035.1	Primary Assembly	Un			RCWR01155428.1	Chromosome		NW_024598007.1	unplaced-scaffold	1119			scaffold08569
GCF_003704035.1	Primary Assembly	Un			RCWR01155429.1	Chromosome		NW_024598008.1	unplaced-scaffold	1119			scaffold08570
GCF_003704035.1	Primary Assembly	Un			RCWR01155430.1	Chromosome		NW_024598009.1	unplaced-scaffold	1117			scaffold08571
GCF_003704035.1	Primary Assembly	Un			RCWR01155431.1	Chromosome		NW_024598010.1	unplaced-scaffold	1119			scaffold08572
GCF_003704035.1	Primary Assembly	Un			RCWR01155432.1	Chromosome		NW_024598011.1	unplaced-scaffold	1059			scaffold08573
GCF_003704035.1	Primary Assembly	Un			RCWR01155433.1	Chromosome		NW_024598012.1	unplaced-scaffold	1044			scaffold08574
GCF_003704035.1	Primary Assembly	Un			RCWR01155434.1	Chromosome		NW_024598013.1	unplaced-scaffold	1118			scaffold08575
GCF_003704035.1	Primary Assembly	Un			RCWR01155435.1	Chromosome		NW_024598014.1	unplaced-scaffold	1119			scaffold08576
GCF_003704035.1	Primary Assembly	Un			RCWR01155436.1	Chromosome		NW_024598015.1	unplaced-scaffold	1116			scaffold08577
GCF_003704035.1	Primary Assembly	Un			RCWR01155437.1	Chromosome		NW_024598016.1	unplaced-scaffold	1119			scaffold08578
GCF_003704035.1	Primary Assembly	Un			RCWR01155438.1	Chromosome		NW_024598017.1	unplaced-scaffold	1118			scaffold08579
GCF_003704035.1	Primary Assembly	Un			RCWR01155439.1	Chromosome		NW_024598018.1	unplaced-scaffold	1114			scaffold08580
GCF_003704035.1	Primary Assembly	Un			RCWR01155440.1	Chromosome		NW_024598019.1	unplaced-scaffold	1118			scaffold08581
GCF_003704035.1	Primary Assembly	Un			RCWR01155441.1	Chromosome		NW_024598020.1	unplaced-scaffold	1118			scaffold08582
GCF_003704035.1	Primary Assembly	Un			RCWR01155442.1	Chromosome		NW_024598021.1	unplaced-scaffold	1058			scaffold08583
GCF_003704035.1	Primary Assembly	Un			RCWR01155443.1	Chromosome		NW_024598022.1	unplaced-scaffold	1118			scaffold08584
GCF_003704035.1	Primary Assembly	Un			RCWR01155444.1	Chromosome		NW_024598023.1	unplaced-scaffold	1117			scaffold08585
GCF_003704035.1	Primary Assembly	Un			RCWR01155445.1	Chromosome		NW_024598024.1	unplaced-scaffold	1117			scaffold08586
GCF_003704035.1	Primary Assembly	Un			RCWR01155446.1	Chromosome		NW_024598025.1	unplaced-scaffold	1117			scaffold08587
GCF_003704035.1	Primary Assembly	Un			RCWR01155447.1	Chromosome		NW_024598026.1	unplaced-scaffold	1117			scaffold08588
GCF_003704035.1	Primary Assembly	Un			RCWR01155448.1	Chromosome		NW_024598027.1	unplaced-scaffold	1118			scaffold08589
GCF_003704035.1	Primary Assembly	Un			RCWR01155449.1	Chromosome		NW_024598028.1	unplaced-scaffold	1117			scaffold08590
GCF_003704035.1	Primary Assembly	Un			RCWR01155450.1	Chromosome		NW_024598029.1	unplaced-scaffold	1116			scaffold08591
GCF_003704035.1	Primary Assembly	Un			RCWR01155451.1	Chromosome		NW_024598030.1	unplaced-scaffold	1082			scaffold08592
GCF_003704035.1	Primary Assembly	Un			RCWR01155452.1	Chromosome		NW_024598031.1	unplaced-scaffold	1098			scaffold08593
GCF_003704035.1	Primary Assembly	Un			RCWR01155453.1	Chromosome		NW_024598032.1	unplaced-scaffold	1061			scaffold08594
GCF_003704035.1	Primary Assembly	Un			RCWR01155454.1	Chromosome		NW_024598033.1	unplaced-scaffold	1115			scaffold08595
GCF_003704035.1	Primary Assembly	Un			RCWR01155455.1	Chromosome		NW_024598034.1	unplaced-scaffold	1054			scaffold08596
GCF_003704035.1	Primary Assembly	Un			RCWR01155456.1	Chromosome		NW_024598035.1	unplaced-scaffold	1115			scaffold08597
GCF_003704035.1	Primary Assembly	Un			RCWR01155457.1	Chromosome		NW_024598036.1	unplaced-scaffold	1054			scaffold08598
GCF_003704035.1	Primary Assembly	Un			RCWR01155458.1	Chromosome		NW_024598037.1	unplaced-scaffold	1055			scaffold08599
GCF_003704035.1	Primary Assembly	Un			RCWR01155459.1	Chromosome		NW_024598038.1	unplaced-scaffold	1115			scaffold08600
GCF_003704035.1	Primary Assembly	Un			RCWR01155460.1	Chromosome		NW_024598039.1	unplaced-scaffold	1023			scaffold08601
GCF_003704035.1	Primary Assembly	Un			RCWR01155461.1	Chromosome		NW_024598040.1	unplaced-scaffold	1114			scaffold08602
GCF_003704035.1	Primary Assembly	Un			RCWR01155462.1	Chromosome		NW_024598041.1	unplaced-scaffold	1114			scaffold08603
GCF_003704035.1	Primary Assembly	Un			RCWR01155463.1	Chromosome		NW_024598042.1	unplaced-scaffold	1114			scaffold08604
GCF_003704035.1	Primary Assembly	Un			RCWR01155464.1	Chromosome		NW_024598043.1	unplaced-scaffold	1114			scaffold08605
GCF_003704035.1	Primary Assembly	Un			RCWR01155465.1	Chromosome		NW_024598044.1	unplaced-scaffold	1079			scaffold08606
GCF_003704035.1	Primary Assembly	Un			RCWR01155466.1	Chromosome		NW_024598045.1	unplaced-scaffold	1114			scaffold08607
GCF_003704035.1	Primary Assembly	Un			RCWR01155467.1	Chromosome		NW_024598046.1	unplaced-scaffold	1067			scaffold08608
GCF_003704035.1	Primary Assembly	Un			RCWR01155468.1	Chromosome		NW_024598047.1	unplaced-scaffold	1113			scaffold08609
GCF_003704035.1	Primary Assembly	Un			RCWR01155469.1	Chromosome		NW_024598048.1	unplaced-scaffold	1079			scaffold08610
GCF_003704035.1	Primary Assembly	Un			RCWR01155470.1	Chromosome		NW_024598049.1	unplaced-scaffold	1052			scaffold08611
GCF_003704035.1	Primary Assembly	Un			RCWR01155471.1	Chromosome		NW_024598050.1	unplaced-scaffold	1054			scaffold08612
GCF_003704035.1	Primary Assembly	Un			RCWR01155472.1	Chromosome		NW_024598051.1	unplaced-scaffold	1090			scaffold08613
GCF_003704035.1	Primary Assembly	Un			RCWR01155473.1	Chromosome		NW_024598052.1	unplaced-scaffold	1127			scaffold08614
GCF_003704035.1	Primary Assembly	Un			RCWR01155474.1	Chromosome		NW_024598053.1	unplaced-scaffold	1112			scaffold08615
GCF_003704035.1	Primary Assembly	Un			RCWR01155475.1	Chromosome		NW_024598054.1	unplaced-scaffold	1035			scaffold08616
GCF_003704035.1	Primary Assembly	Un			RCWR01155476.1	Chromosome		NW_024598055.1	unplaced-scaffold	1111			scaffold08617
GCF_003704035.1	Primary Assembly	Un			RCWR01155477.1	Chromosome		NW_024598056.1	unplaced-scaffold	1077			scaffold08618
GCF_003704035.1	Primary Assembly	Un			RCWR01155478.1	Chromosome		NW_024598057.1	unplaced-scaffold	1112			scaffold08619
GCF_003704035.1	Primary Assembly	Un			RCWR01155479.1	Chromosome		NW_024598058.1	unplaced-scaffold	1063			scaffold08620
GCF_003704035.1	Primary Assembly	Un			RCWR01155480.1	Chromosome		NW_024598059.1	unplaced-scaffold	1112			scaffold08621
GCF_003704035.1	Primary Assembly	Un			RCWR01155481.1	Chromosome		NW_024598060.1	unplaced-scaffold	1057			scaffold08622
GCF_003704035.1	Primary Assembly	Un			RCWR01155482.1	Chromosome		NW_024598061.1	unplaced-scaffold	1112			scaffold08623
GCF_003704035.1	Primary Assembly	Un			RCWR01155483.1	Chromosome		NW_024598062.1	unplaced-scaffold	1000			scaffold08624
GCF_003704035.1	Primary Assembly	Un			RCWR01155484.1	Chromosome		NW_024598063.1	unplaced-scaffold	1070			scaffold08625
GCF_003704035.1	Primary Assembly	Un			RCWR01155485.1	Chromosome		NW_024598064.1	unplaced-scaffold	1109			scaffold08626
GCF_003704035.1	Primary Assembly	Un			RCWR01155488.1	Chromosome		NW_024598066.1	unplaced-scaffold	1057			scaffold08628
GCF_003704035.1	Primary Assembly	Un			RCWR01155489.1	Chromosome		NW_024598067.1	unplaced-scaffold	1111			scaffold08629
GCF_003704035.1	Primary Assembly	Un			RCWR01155490.1	Chromosome		NW_024598068.1	unplaced-scaffold	1111			scaffold08630
GCF_003704035.1	Primary Assembly	Un			RCWR01155491.1	Chromosome		NW_024598069.1	unplaced-scaffold	1111			scaffold08631
GCF_003704035.1	Primary Assembly	Un			RCWR01155492.1	Chromosome		NW_024598070.1	unplaced-scaffold	1119			scaffold08632
GCF_003704035.1	Primary Assembly	Un			RCWR01155493.1	Chromosome		NW_024598071.1	unplaced-scaffold	1111			scaffold08633
GCF_003704035.1	Primary Assembly	Un			RCWR01155494.1	Chromosome		NW_024598072.1	unplaced-scaffold	1117			scaffold08634
GCF_003704035.1	Primary Assembly	Un			RCWR01155495.1	Chromosome		NW_024598073.1	unplaced-scaffold	1111			scaffold08635
GCF_003704035.1	Primary Assembly	Un			RCWR01155496.1	Chromosome		NW_024598074.1	unplaced-scaffold	1109			scaffold08636
GCF_003704035.1	Primary Assembly	Un			RCWR01155497.1	Chromosome		NW_024598075.1	unplaced-scaffold	1063			scaffold08637
GCF_003704035.1	Primary Assembly	Un			RCWR01155498.1	Chromosome		NW_024598076.1	unplaced-scaffold	1103			scaffold08638
GCF_003704035.1	Primary Assembly	Un			RCWR01155499.1	Chromosome		NW_024598077.1	unplaced-scaffold	1110			scaffold08639
GCF_003704035.1	Primary Assembly	Un			RCWR01155500.1	Chromosome		NW_024598078.1	unplaced-scaffold	1111			scaffold08640
GCF_003704035.1	Primary Assembly	Un			RCWR01155501.1	Chromosome		NW_024598079.1	unplaced-scaffold	1110			scaffold08641
GCF_003704035.1	Primary Assembly	Un			RCWR01155502.1	Chromosome		NW_024598080.1	unplaced-scaffold	1068			scaffold08642
GCF_003704035.1	Primary Assembly	Un			RCWR01155503.1	Chromosome		NW_024598081.1	unplaced-scaffold	1110			scaffold08643
GCF_003704035.1	Primary Assembly	Un			RCWR01155504.1	Chromosome		NW_024598082.1	unplaced-scaffold	1098			scaffold08644
GCF_003704035.1	Primary Assembly	Un			RCWR01155505.1	Chromosome		NW_024598083.1	unplaced-scaffold	1110			scaffold08645
GCF_003704035.1	Primary Assembly	Un			RCWR01155506.1	Chromosome		NW_024598084.1	unplaced-scaffold	1109			scaffold08646
GCF_003704035.1	Primary Assembly	Un			RCWR01155507.1	Chromosome		NW_024598085.1	unplaced-scaffold	1101			scaffold08647
GCF_003704035.1	Primary Assembly	Un			RCWR01155508.1	Chromosome		NW_024598086.1	unplaced-scaffold	1096			scaffold08648
GCF_003704035.1	Primary Assembly	Un			RCWR01155509.1	Chromosome		NW_024598087.1	unplaced-scaffold	1109			scaffold08649
GCF_003704035.1	Primary Assembly	Un			RCWR01155510.1	Chromosome		NW_024598088.1	unplaced-scaffold	1066			scaffold08650
GCF_003704035.1	Primary Assembly	Un			RCWR01155511.1	Chromosome		NW_024598089.1	unplaced-scaffold	1107			scaffold08651
GCF_003704035.1	Primary Assembly	Un			RCWR01155512.1	Chromosome		NW_024598090.1	unplaced-scaffold	1048			scaffold08652
GCF_003704035.1	Primary Assembly	Un			RCWR01155513.1	Chromosome		NW_024598091.1	unplaced-scaffold	1057			scaffold08653
GCF_003704035.1	Primary Assembly	Un			RCWR01155514.1	Chromosome		NW_024598092.1	unplaced-scaffold	1003			scaffold08654
GCF_003704035.1	Primary Assembly	Un			RCWR01155515.1	Chromosome		NW_024598093.1	unplaced-scaffold	1072			scaffold08655
GCF_003704035.1	Primary Assembly	Un			RCWR01155516.1	Chromosome		NW_024598094.1	unplaced-scaffold	1079			scaffold08656
GCF_003704035.1	Primary Assembly	Un			RCWR01155517.1	Chromosome		NW_024598095.1	unplaced-scaffold	1082			scaffold08657
GCF_003704035.1	Primary Assembly	Un			RCWR01155518.1	Chromosome		NW_024598096.1	unplaced-scaffold	1107			scaffold08658
GCF_003704035.1	Primary Assembly	Un			RCWR01155519.1	Chromosome		NW_024598097.1	unplaced-scaffold	1107			scaffold08659
GCF_003704035.1	Primary Assembly	Un			RCWR01155520.1	Chromosome		NW_024598098.1	unplaced-scaffold	1091			scaffold08660
GCF_003704035.1	Primary Assembly	Un			RCWR01155521.1	Chromosome		NW_024598099.1	unplaced-scaffold	1054			scaffold08661
GCF_003704035.1	Primary Assembly	Un			RCWR01155522.1	Chromosome		NW_024598100.1	unplaced-scaffold	1047			scaffold08662
GCF_003704035.1	Primary Assembly	Un			RCWR01155523.1	Chromosome		NW_024598101.1	unplaced-scaffold	1045			scaffold08663
GCF_003704035.1	Primary Assembly	Un			RCWR01155524.1	Chromosome		NW_024598102.1	unplaced-scaffold	1053			scaffold08664
GCF_003704035.1	Primary Assembly	Un			RCWR01155525.1	Chromosome		NW_024598103.1	unplaced-scaffold	1106			scaffold08665
GCF_003704035.1	Primary Assembly	Un			RCWR01155526.1	Chromosome		NW_024598104.1	unplaced-scaffold	1048			scaffold08666
GCF_003704035.1	Primary Assembly	Un			RCWR01155527.1	Chromosome		NW_024598105.1	unplaced-scaffold	1062			scaffold08667
GCF_003704035.1	Primary Assembly	Un			RCWR01155528.1	Chromosome		NW_024598106.1	unplaced-scaffold	1093			scaffold08668
GCF_003704035.1	Primary Assembly	Un			RCWR01155529.1	Chromosome		NW_024598107.1	unplaced-scaffold	1045			scaffold08669
GCF_003704035.1	Primary Assembly	Un			RCWR01155530.1	Chromosome		NW_024598108.1	unplaced-scaffold	1107			scaffold08670
GCF_003704035.1	Primary Assembly	Un			RCWR01155531.1	Chromosome		NW_024598109.1	unplaced-scaffold	1105			scaffold08671
GCF_003704035.1	Primary Assembly	Un			RCWR01155532.1	Chromosome		NW_024598110.1	unplaced-scaffold	1105			scaffold08672
GCF_003704035.1	Primary Assembly	Un			RCWR01155533.1	Chromosome		NW_024598111.1	unplaced-scaffold	1065			scaffold08673
GCF_003704035.1	Primary Assembly	Un			RCWR01155534.1	Chromosome		NW_024598112.1	unplaced-scaffold	1132			scaffold08674
GCF_003704035.1	Primary Assembly	Un			RCWR01155535.1	Chromosome		NW_024598113.1	unplaced-scaffold	1105			scaffold08675
GCF_003704035.1	Primary Assembly	Un			RCWR01155536.1	Chromosome		NW_024598114.1	unplaced-scaffold	1105			scaffold08676
GCF_003704035.1	Primary Assembly	Un			RCWR01155537.1	Chromosome		NW_024598115.1	unplaced-scaffold	1061			scaffold08677
GCF_003704035.1	Primary Assembly	Un			RCWR01155538.1	Chromosome		NW_024598116.1	unplaced-scaffold	1104			scaffold08678
GCF_003704035.1	Primary Assembly	Un			RCWR01155539.1	Chromosome		NW_024598117.1	unplaced-scaffold	1066			scaffold08679
GCF_003704035.1	Primary Assembly	Un			RCWR01155540.1	Chromosome		NW_024598118.1	unplaced-scaffold	1103			scaffold08680
GCF_003704035.1	Primary Assembly	Un			RCWR01155541.1	Chromosome		NW_024598119.1	unplaced-scaffold	1103			scaffold08681
GCF_003704035.1	Primary Assembly	Un			RCWR01155542.1	Chromosome		NW_024598120.1	unplaced-scaffold	1103			scaffold08682
GCF_003704035.1	Primary Assembly	Un			RCWR01155543.1	Chromosome		NW_024598121.1	unplaced-scaffold	1107			scaffold08683
GCF_003704035.1	Primary Assembly	Un			RCWR01155544.1	Chromosome		NW_024598122.1	unplaced-scaffold	1076			scaffold08684
GCF_003704035.1	Primary Assembly	Un			RCWR01155545.1	Chromosome		NW_024598123.1	unplaced-scaffold	1023			scaffold08685
GCF_003704035.1	Primary Assembly	Un			RCWR01155546.1	Chromosome		NW_024598124.1	unplaced-scaffold	1102			scaffold08686
GCF_003704035.1	Primary Assembly	Un			RCWR01155547.1	Chromosome		NW_024598125.1	unplaced-scaffold	1049			scaffold08687
GCF_003704035.1	Primary Assembly	Un			RCWR01155548.1	Chromosome		NW_024598126.1	unplaced-scaffold	1059			scaffold08688
GCF_003704035.1	Primary Assembly	Un			RCWR01155549.1	Chromosome		NW_024598127.1	unplaced-scaffold	1100			scaffold08689
GCF_003704035.1	Primary Assembly	Un			RCWR01155550.1	Chromosome		NW_024598128.1	unplaced-scaffold	1054			scaffold08690
GCF_003704035.1	Primary Assembly	Un			RCWR01155551.1	Chromosome		NW_024598129.1	unplaced-scaffold	1045			scaffold08691
GCF_003704035.1	Primary Assembly	Un			RCWR01155552.1	Chromosome		NW_024598130.1	unplaced-scaffold	1101			scaffold08692
GCF_003704035.1	Primary Assembly	Un			RCWR01155553.1	Chromosome		NW_024598131.1	unplaced-scaffold	1101			scaffold08693
GCF_003704035.1	Primary Assembly	Un			RCWR01155554.1	Chromosome		NW_024598132.1	unplaced-scaffold	1051			scaffold08694
GCF_003704035.1	Primary Assembly	Un			RCWR01155555.1	Chromosome		NW_024598133.1	unplaced-scaffold	1062			scaffold08695
GCF_003704035.1	Primary Assembly	Un			RCWR01155556.1	Chromosome		NW_024598134.1	unplaced-scaffold	1075			scaffold08696
GCF_003704035.1	Primary Assembly	Un			RCWR01155557.1	Chromosome		NW_024598135.1	unplaced-scaffold	1101			scaffold08697
GCF_003704035.1	Primary Assembly	Un			RCWR01155558.1	Chromosome		NW_024598136.1	unplaced-scaffold	1039			scaffold08698
GCF_003704035.1	Primary Assembly	Un			RCWR01155559.1	Chromosome		NW_024598137.1	unplaced-scaffold	1088			scaffold08699
GCF_003704035.1	Primary Assembly	Un			RCWR01155560.1	Chromosome		NW_024598138.1	unplaced-scaffold	1043			scaffold08700
GCF_003704035.1	Primary Assembly	Un			RCWR01155561.1	Chromosome		NW_024598139.1	unplaced-scaffold	1022			scaffold08701
GCF_003704035.1	Primary Assembly	Un			RCWR01155562.1	Chromosome		NW_024598140.1	unplaced-scaffold	1041			scaffold08702
GCF_003704035.1	Primary Assembly	Un			RCWR01155563.1	Chromosome		NW_024598141.1	unplaced-scaffold	1331			scaffold08703
GCF_003704035.1	Primary Assembly	Un			RCWR01155564.1	Chromosome		NW_024598142.1	unplaced-scaffold	1051			scaffold08704
GCF_003704035.1	Primary Assembly	Un			RCWR01155565.1	Chromosome		NW_024598143.1	unplaced-scaffold	1043			scaffold08705
GCF_003704035.1	Primary Assembly	Un			RCWR01155566.1	Chromosome		NW_024598144.1	unplaced-scaffold	1084			scaffold08706
GCF_003704035.1	Primary Assembly	Un			RCWR01155567.1	Chromosome		NW_024598145.1	unplaced-scaffold	1088			scaffold08707
GCF_003704035.1	Primary Assembly	Un			RCWR01155568.1	Chromosome		NW_024598146.1	unplaced-scaffold	1074			scaffold08708
GCF_003704035.1	Primary Assembly	Un			RCWR01155569.1	Chromosome		NW_024598147.1	unplaced-scaffold	1029			scaffold08709
GCF_003704035.1	Primary Assembly	Un			RCWR01155570.1	Chromosome		NW_024598148.1	unplaced-scaffold	1037			scaffold08710
GCF_003704035.1	Primary Assembly	Un			RCWR01155573.1	Chromosome		NW_024598150.1	unplaced-scaffold	1099			scaffold08712
GCF_003704035.1	Primary Assembly	Un			RCWR01155574.1	Chromosome		NW_024598151.1	unplaced-scaffold	1096			scaffold08713
GCF_003704035.1	Primary Assembly	Un			RCWR01155575.1	Chromosome		NW_024598152.1	unplaced-scaffold	1037			scaffold08714
GCF_003704035.1	Primary Assembly	Un			RCWR01155576.1	Chromosome		NW_024598153.1	unplaced-scaffold	1097			scaffold08715
GCF_003704035.1	Primary Assembly	Un			RCWR01155577.1	Chromosome		NW_024598154.1	unplaced-scaffold	1097			scaffold08716
GCF_003704035.1	Primary Assembly	Un			RCWR01155578.1	Chromosome		NW_024598155.1	unplaced-scaffold	1010			scaffold08717
GCF_003704035.1	Primary Assembly	Un			RCWR01155579.1	Chromosome		NW_024598156.1	unplaced-scaffold	1021			scaffold08718
GCF_003704035.1	Primary Assembly	Un			RCWR01155580.1	Chromosome		NW_024598157.1	unplaced-scaffold	1052			scaffold08719
GCF_003704035.1	Primary Assembly	Un			RCWR01155581.1	Chromosome		NW_024598158.1	unplaced-scaffold	1088			scaffold08720
GCF_003704035.1	Primary Assembly	Un			RCWR01155582.1	Chromosome		NW_024598159.1	unplaced-scaffold	1095			scaffold08721
GCF_003704035.1	Primary Assembly	Un			RCWR01155583.1	Chromosome		NW_024598160.1	unplaced-scaffold	1096			scaffold08722
GCF_003704035.1	Primary Assembly	Un			RCWR01155584.1	Chromosome		NW_024598161.1	unplaced-scaffold	1057			scaffold08723
GCF_003704035.1	Primary Assembly	Un			RCWR01155585.1	Chromosome		NW_024598162.1	unplaced-scaffold	1096			scaffold08724
GCF_003704035.1	Primary Assembly	Un			RCWR01155586.1	Chromosome		NW_024598163.1	unplaced-scaffold	1095			scaffold08725
GCF_003704035.1	Primary Assembly	Un			RCWR01155587.1	Chromosome		NW_024598164.1	unplaced-scaffold	1088			scaffold08726
GCF_003704035.1	Primary Assembly	Un			RCWR01155588.1	Chromosome		NW_024598165.1	unplaced-scaffold	1053			scaffold08727
GCF_003704035.1	Primary Assembly	Un			RCWR01155589.1	Chromosome		NW_024598166.1	unplaced-scaffold	1092			scaffold08728
GCF_003704035.1	Primary Assembly	Un			RCWR01155590.1	Chromosome		NW_024598167.1	unplaced-scaffold	1069			scaffold08729
GCF_003704035.1	Primary Assembly	Un			RCWR01155591.1	Chromosome		NW_024598168.1	unplaced-scaffold	1093			scaffold08730
GCF_003704035.1	Primary Assembly	Un			RCWR01155593.1	Chromosome		NW_024598169.1	unplaced-scaffold	1093			scaffold08732
GCF_003704035.1	Primary Assembly	Un			RCWR01155594.1	Chromosome		NW_024598170.1	unplaced-scaffold	1093			scaffold08733
GCF_003704035.1	Primary Assembly	Un			RCWR01155595.1	Chromosome		NW_024598171.1	unplaced-scaffold	1045			scaffold08734
GCF_003704035.1	Primary Assembly	Un			RCWR01155596.1	Chromosome		NW_024598172.1	unplaced-scaffold	1092			scaffold08736
GCF_003704035.1	Primary Assembly	Un			RCWR01155597.1	Chromosome		NW_024598173.1	unplaced-scaffold	1079			scaffold08737
GCF_003704035.1	Primary Assembly	Un			RCWR01155598.1	Chromosome		NW_024598174.1	unplaced-scaffold	1092			scaffold08738
GCF_003704035.1	Primary Assembly	Un			RCWR01155599.1	Chromosome		NW_024598175.1	unplaced-scaffold	1031			scaffold08739
GCF_003704035.1	Primary Assembly	Un			RCWR01155600.1	Chromosome		NW_024598176.1	unplaced-scaffold	1034			scaffold08740
GCF_003704035.1	Primary Assembly	Un			RCWR01155603.1	Chromosome		NW_024598178.1	unplaced-scaffold	1030			scaffold08742
GCF_003704035.1	Primary Assembly	Un			RCWR01155604.1	Chromosome		NW_024598179.1	unplaced-scaffold	1091			scaffold08743
GCF_003704035.1	Primary Assembly	Un			RCWR01155605.1	Chromosome		NW_024598180.1	unplaced-scaffold	1021			scaffold08744
GCF_003704035.1	Primary Assembly	Un			RCWR01155606.1	Chromosome		NW_024598181.1	unplaced-scaffold	1038			scaffold08745
GCF_003704035.1	Primary Assembly	Un			RCWR01155607.1	Chromosome		NW_024598182.1	unplaced-scaffold	1038			scaffold08746
GCF_003704035.1	Primary Assembly	Un			RCWR01155608.1	Chromosome		NW_024598183.1	unplaced-scaffold	1090			scaffold08747
GCF_003704035.1	Primary Assembly	Un			RCWR01155609.1	Chromosome		NW_024598184.1	unplaced-scaffold	1089			scaffold08748
GCF_003704035.1	Primary Assembly	Un			RCWR01155610.1	Chromosome		NW_024598185.1	unplaced-scaffold	1089			scaffold08749
GCF_003704035.1	Primary Assembly	Un			RCWR01155611.1	Chromosome		NW_024598186.1	unplaced-scaffold	1084			scaffold08750
GCF_003704035.1	Primary Assembly	Un			RCWR01155612.1	Chromosome		NW_024598187.1	unplaced-scaffold	1060			scaffold08751
GCF_003704035.1	Primary Assembly	Un			RCWR01155613.1	Chromosome		NW_024598188.1	unplaced-scaffold	1155			scaffold08752
